2017-10-27 16:52:14 INFO org.eduprom.tasks.Benchmark main started application
2017-10-27 16:52:15 INFO org.eduprom.miners.AbstractMiner mine Started training the log file: EventLogs\contest_dataset\training_log_1.xes using the algorithm: AdaptiveNoiseMiner
2017-10-27 16:52:15 INFO org.eduprom.miners.AbstractMiner mine reading event log finished successfully,log size: 900
2017-10-27 16:52:15 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner minePetrinet Fitness weight: 0.340000, Precision weight: 0.330000, generalization weight: 0.340000
2017-10-27 16:52:17 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:19 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:19 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:19 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner minePetrinet Partitioning has: 23 sublogs
2017-10-27 16:52:22 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:24 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:25 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:27 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:28 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:29 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:29 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:29 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:29 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:30 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:30 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:31 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:31 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:31 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:31 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:31 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:33 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:35 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:35 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:35 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:35 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:35 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.720083), generalization: (0.340000,1.000000)
2017-10-27 16:52:36 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:37 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 0.919876), generalization: (0.340000,1.000000)
2017-10-27 16:52:37 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner getOptions started change: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:37 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner minePetrinet found 27 possible changes to initial partitioning (#miners x #sublogs)
